pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context
24301957	Cloning, characterization, and expression of the macrophage migration inhibitory factor gene from the Pacific white shri	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24316230	Characterization of the circulating hemocytes in mud crab (Scylla olivacea) revealed phenoloxidase activity.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
24333440	The essential role of clathrin-mediated endocytosis in yellow head virus propagation in the black tiger shrimp Penaeus m	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24345607	PmPPAF is a pro-phenoloxidase activating factor involved in innate immunity response of the shrimp Penaeus monodon.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24352447	Involvement of viral microRNA in the regulation of antiviral apoptosis in shrimp.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24357036	Development of primary cell cultures from mud crab, Scylla serrata, and their potential as an in vitro model for the rep	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured
24361621	Shrimp that have received carrageenan via immersion and diet exhibit immunocompetence in phagocytosis despite a post-pla	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24371549	Molecular modeling and expression of the Litopenaeus vannamei proliferating cell nuclear antigen (PCNA) after white spot	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24371549	Molecular modeling and expression of the Litopenaeus vannamei proliferating cell nuclear antigen (PCNA) after white spot	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24376496	Characterization of four novel caspases from Litopenaeus vannamei (Lvcaspase2-5) and their role in WSSV infection throug	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24410800	Genotyping of a microsatellite locus to differentiate clinical Ostreid herpesvirus 1 specimens.	ostreid herpesvirus 1	OsHV-1	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24410800	Genotyping of a microsatellite locus to differentiate clinical Ostreid herpesvirus 1 specimens.	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24418456	Molecular characterization, immune response against white spot syndrome virus infection of peroxiredoxin 4 in Fenneropen	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426257	Expression Profile of Penaeus monodon Ubiquitin Conjugating Enzyme (PmUbc) at Protein Level in White spot syndrome virus	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426264	White spot syndrome virus Manipulates Ubiquitin Gene Expression in Penaeus monodon.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426311	Association of dual viral infection with mortality of Pacific white shrimp (Litopenaeus vannamei) in culture ponds in In	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426311	Association of dual viral infection with mortality of Pacific white shrimp (Litopenaeus vannamei) in culture ponds in In	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426311	Association of dual viral infection with mortality of Pacific white shrimp (Litopenaeus vannamei) in culture ponds in In	taura syndrome virus	TSV	Dicistroviridae	Aparavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426311	Association of dual viral infection with mortality of Pacific white shrimp (Litopenaeus vannamei) in culture ponds in In	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24426311	Association of dual viral infection with mortality of Pacific white shrimp (Litopenaeus vannamei) in culture ponds in In	infectious myonecrosis virus	IMNV	Totiviridae	Giardiavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24442516	Cloning of Hsp21 gene and its expression in Chinese shrimp Fenneropenaeus chinensis in response to WSSV challenge.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24457045	Bioinformatics analysis of hemocyte miRNAs of scallop Chlamys farreri against acute viral necrobiotic virus (AVNV).	acute viral necrosis virus	AVNV	Nodaviridae	Alphanodavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24462836	Cloning and characterization of two different ficolins from the giant freshwater prawn Macrobrachium rosenbergii.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24463313	Pellino protein from pacific white shrimp Litopenaeus vannamei positively regulates NF-κB activation.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24486504	Arginine kinase of Litopenaeus vannamei involved in white spot syndrome virus infection.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24509436	Sulfated galactans isolated from the red seaweed Gracilaria fisheri target the envelope proteins of white spot syndrome 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence
24551106	Spatial and temporal dynamics of mass mortalities in oysters is influenced by energetic reserves and food quality.	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24562855	Homology modeling and virtual screening for antagonists of protease from yellow head virus.	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	taura syndrome virus	TSV	Dicistroviridae	Aparavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	infectious myonecrosis virus	IMNV	Totiviridae	Giardiavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	macrobrachium rosenbergii nodavirus	MrNV	Nodaviridae	Alphanodavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24567913	Immunological-based assays for specific detection of shrimp viruses.	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24582708	Contrasted survival under field or controlled conditions displays associations between mRNA levels of candidate genes an	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence
24587154	Proteomic analysis of differentially expressed proteins in Fenneropenaeus chinensis hemocytes upon white spot syndrome v	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24595043	Transcriptome analysis of the initial stage of acute WSSV infection caused by temperature change.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24607287	Litopenaeus vannamei NF-κB is required for WSSV replication.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24607653	White spot syndrome virus VP12 interacts with adenine nucleotide translocase of Litopenaeus vannamei.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24607895	Two new anti-apoptotic proteins of white spot syndrome virus that bind to an effector caspase (PmCasp) of the giant tige	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24625894	Validation of a commercial insulated isothermal PCR-based POCKIT test for rapid and easy detection of white spot syndrom	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24625894	Validation of a commercial insulated isothermal PCR-based POCKIT test for rapid and easy detection of white spot syndrom	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24637372	Protection of yellow head virus infection in shrimp by feeding of bacteria expressing dsRNAs.	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24637711	PmVRP15, a novel viral responsive protein from the black tiger shrimp, Penaeus monodon, promoted white spot syndrome vir	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24658782	White spot syndrome virus (WSSV) infection in shrimp (Litopenaeus vannamei) exposed to low and high salinity.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24661926	Modification of a synthetic LPS-binding domain of anti-lipopolysaccharide factor from shrimp reveals strong structure-ac	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24676722	Functional Characterization of a c-type Lysozyme from Indian Shrimp Fenneropenaeus indicus.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24681357	Transcriptomic study of 39 ostreid herpesvirus 1 genes during an experimental infection.	ostreid herpesvirus 1	OsHV-1	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence
24681357	Transcriptomic study of 39 ostreid herpesvirus 1 genes during an experimental infection.	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence
24681359	Assessment of WSSV prevalence and distribution of disease-resistant shrimp among the wild population of Penaeus monodon 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24716722	The establishment and application of isothermal cross-priming amplification techniques in detecting penaeid shrimp white	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24716813	Transmission of white spot syndrome virus (WSSV) from Dendronereis spp. (Peters) (Nereididae) to penaeid shrimp.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24728082	Crystal structure of the shrimp proliferating cell nuclear antigen: structural complementarity with WSSV DNA polymerase 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24728082	Crystal structure of the shrimp proliferating cell nuclear antigen: structural complementarity with WSSV DNA polymerase 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24735185	Study on the Distribution of Disease-Resistant Shrimp Identified by DNA Markers in Respect to WSSV Infection in Differen	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
